timestamp,outcome,token_id,price,datetime
1777712412,Boston Celtics,98951343420969493497594761179562691809954416596888138302255086663562042936451,0.0965,2026-05-02 09:00:12+00:00
1777712412,Cleveland Cavaliers,21929863894047830651599085392978377118642353711084157807549430066031384497667,0.028,2026-05-02 09:00:12+00:00
1777712412,Los Angeles Lakers,86297520870744792204751483474339201341298076835836561764334428915355504860913,0.0285,2026-05-02 09:00:12+00:00
1777712412,Orlando Magic,95140346952277551620015228752585531762813913098320669805735291271863965388665,0.0035,2026-05-02 09:00:12+00:00
1777712412,Philadelphia 76ers,5644679982684846699855787022092402984369447277920326773883608030240292167917,0.0095,2026-05-02 09:00:12+00:00
1777712413,Toronto Raptors,111039354521750894925304771773687530394455073318948424656845140321925374032772,0.0055,2026-05-02 09:00:13+00:00
1777712414,Detroit Pistons,59742411602053785892348440048778056320272639465974092140970920277782290781360,0.0315,2026-05-02 09:00:14+00:00
1777712414,Minnesota Timberwolves,5771676627182954113677164857547228277089396639521594262964034606220001939923,0.0115,2026-05-02 09:00:14+00:00
1777712414,Oklahoma City Thunder,49500299856831034491021962156746701298730459370557900271970866855042624695770,0.555,2026-05-02 09:00:14+00:00
1777716004,San Antonio Spurs,102227184035967850089766981958743064457339118173548431660886438726896222843254,0.1995,2026-05-02 10:00:04+00:00
1777716005,New York Knicks,20257190540739490630509657713144742134547949967093643458458133445357169845406,0.0525,2026-05-02 10:00:05+00:00
1777716006,Boston Celtics,98951343420969493497594761179562691809954416596888138302255086663562042936451,0.097,2026-05-02 10:00:06+00:00
1777716006,Cleveland Cavaliers,21929863894047830651599085392978377118642353711084157807549430066031384497667,0.0285,2026-05-02 10:00:06+00:00
1777716006,Los Angeles Lakers,86297520870744792204751483474339201341298076835836561764334428915355504860913,0.0275,2026-05-02 10:00:06+00:00
1777716006,Orlando Magic,95140346952277551620015228752585531762813913098320669805735291271863965388665,0.0035,2026-05-02 10:00:06+00:00
1777716006,Philadelphia 76ers,5644679982684846699855787022092402984369447277920326773883608030240292167917,0.0095,2026-05-02 10:00:06+00:00
1777716006,Toronto Raptors,111039354521750894925304771773687530394455073318948424656845140321925374032772,0.0045,2026-05-02 10:00:06+00:00
1777716007,Detroit Pistons,59742411602053785892348440048778056320272639465974092140970920277782290781360,0.0315,2026-05-02 10:00:07+00:00
1777716007,Minnesota Timberwolves,5771676627182954113677164857547228277089396639521594262964034606220001939923,0.0115,2026-05-02 10:00:07+00:00
1777716007,Oklahoma City Thunder,49500299856831034491021962156746701298730459370557900271970866855042624695770,0.555,2026-05-02 10:00:07+00:00
1777719604,San Antonio Spurs,102227184035967850089766981958743064457339118173548431660886438726896222843254,0.1995,2026-05-02 11:00:04+00:00
