outcome,New York Knicks,Oklahoma City Thunder,San Antonio Spurs,Cleveland Cavaliers,Detroit Pistons,Minnesota Timberwolves,Los Angeles Lakers,Philadelphia 76ers
New York Knicks,1.0,-0.13604537189838753,-0.030201151248752348,-0.6282693950102357,-0.9999999999999994,-0.9999999999999997,-0.8169801379652105,0.013211556396688815
Oklahoma City Thunder,-0.13604537189838753,1.0,,-0.4804197647932229,0.617084782923004,0.414254269086564,-0.8601507186229016,-0.5976918129103049
San Antonio Spurs,-0.030201151248752348,,1.0,0.9287419609482336,,,1.0,
Cleveland Cavaliers,-0.6282693950102357,-0.4804197647932229,0.9287419609482336,1.0,-0.5301495900209643,-0.14474779441434937,0.8250612382317779,0.46041622100511886
Detroit Pistons,-0.9999999999999994,0.617084782923004,,-0.5301495900209643,1.0,0.5326977264396769,-0.6456647560551334,-0.4798276253847549
Minnesota Timberwolves,-0.9999999999999997,0.414254269086564,,-0.14474779441434937,0.5326977264396769,1.0,-0.3597057004848147,-0.3627330236988206
Los Angeles Lakers,-0.8169801379652105,-0.8601507186229016,1.0,0.8250612382317779,-0.6456647560551334,-0.3597057004848147,1.0,0.5487604986910719
Philadelphia 76ers,0.013211556396688815,-0.5976918129103049,,0.46041622100511886,-0.4798276253847549,-0.3627330236988206,0.5487604986910719,1.0
